id	message
EXPIRE_DATE_INVALID	 expiration date invalid
EXPIRE_FORBIDDEN	Expire forbidden
EXPORT_CARD_INVALID	  card invalid
EXTENDED_MEDIA_AMOUNT_INVALID	 maximum amount of `star_count` should be less than  `stars_paid_post_amount_max` [client configuration parameters](/api/config).
EXTENDED_MEDIA_PEER_INVALID	 Spesifik chat tipe invalid.
EXTENDED_MEDIA_TYPE_INVALID	 Spesifik extended media type is unsupported.
EXTERNAL_URL_INVALID	 external media URL invalid
FIELD_NAME_EMPTY	 Nama field FIELD_NAME tidak ada
FIELD_NAME_INVALID	 Nama field FIELD_NAME invalid
FILE_CONTENT_TYPE_INVALID	File content-tipe invalid
FILE_EMTPY	An empty file was 
FILE_ID_INVALID	 file id invalid
FILE_MIGRATE_X	 file is in Data Center No. {value}
FILE_PARTS_INVALID	Invalid number of parts.
FILE_PART_0_MISSING	File part 0 missing
FILE_PART_EMPTY	 file part sent kosong
FILE_PART_INVALID	 file part number invalid.
FILE_PART_LENGTH_INVALID	 length of a file part invalid
FILE_PART_SIZE_CHANGED	 part size is different from  size of one of  previous parts in  same file
FILE_PART_SIZE_INVALID	 file part size invalid
FILE_PART_TOO_BIG	 size limit for  content of  file part telah exceeded
FILE_PART_X_MISSING	Part {value} of  file tidak ada from storage
FILE_REFERENCE_EMPTY	 file id contains an empty file reference, Kamu must obtain a valid one by fetching  pesan from  origin context
FILE_REFERENCE_EXPIRED	 file id contains an expired file reference, Kamu must obtain a valid one by fetching  pesan from  origin context
FILE_REFERENCE_INVALID	 file id contains an invalid file reference, Kamu must obtain a valid one by fetching  pesan from  origin context
FILE_TITLE_EMPTY	An empty file title was Spesifik
FILE_TOKEN_INVALID	 Spesifik file token invalid.
FILTER_ID_INVALID	 Spesifik filter ID invalid
FILTER_INCLUDE_EMPTY	 filter include kosong
FILTER_NOT_SUPPORTED	 Spesifik filter tidak bisa digunakan in this context
FILTER_TITLE_EMPTY	 title field of  filter kosong
FIRSTNAME_INVALID	 first name invalid
FOLDER_ID_EMPTY	 folder Kamu mencoba to delete telah empty
FOLDER_ID_INVALID	 folder id invalid
FORM_ID_EXPIRED	 Spesifik id has expired.
FORUM_ENABLED	Kamu tidak bisa execute  Spesifik action karena  group is a [forum](https://core.telegram.org/api/forum), disable forum functionality to continue.
FRESH_CHANGE_ADMINS_FORBIDDEN	Kamu tidak bisa change administrator settings in chat ini karena Kamur session was logged-in recently
FROM_MESSAGE_BOT_DISABLED	Bots tidak bisa use frompesan min constructors
FROM_PEER_INVALID	 from peer value invalid
GAME_BOT_INVALID	Kamu tidak bisa send that game with  current bot
GENERAL_MODIFY_ICON_FORBIDDEN	Kamu tidak bisa modify  icon of  "General" topic.
GEO_POINT_INVALID	Invalid geo point 
GIFT_SLUG_EXPIRED	 gift slug kadaluarsa
GIFT_SLUG_INVALID	 Spesifik slug invalid.
GIF_CONTENT_TYPE_INVALID	GIF content-type invalid
GIF_ID_INVALID	  gif/animation id invalid
GRAPH_EXPIRED_RELOAD	This graph has expired, please obtain a new graph token
GRAPH_INVALID_RELOAD	Invalid graph token , please reload  stats dan provide  updated token
GRAPH_OUTDATED_RELOAD	 graph data is outdated
GROUPCALL_ALREADY_DISCARDED	 group call telah discarded
GROUPCALL_FORBIDDEN	 group call has already ended.
GROUPCALL_INVALID	 Spesifik group call invalid
GROUPCALL_JOIN_MISSING	Kamu haven't bergabung this group call
GROUPCALL_NOT_MODIFIED	Group call settings weren't modified
GROUPCALL_SSRC_DUPLICATE_MUCH	terlalu banyak group call synchronization source duplicates
GROUPED_MEDIA_INVALID	 album contains invalid media
GROUP_CALL_INVALID	 group call invalid
HASH_INVALID	  hash invalid
HIDE_REQUESTER_MISSING	 join request was missing or telah handled
IMAGE_PROCESS_FAILED	 server failed to process Kamur image
IMPORT_FILE_INVALID	 imported file invalid
IMPORT_FORMAT_UNRECOGNIZED	 imported format is unrecognized
IMPORT_ID_INVALID	 import id invalid
IMPORT_TOKEN_INVALID	 Spesifik token invalid.
INLINE_RESULT_EXPIRED	 inline bot query expired
INPUT_CHATLIST_INVALID	 Spesifik folder invalid.
INPUT_CONSTRUCTOR_INVALID	  constructor invalid
INPUT_FETCH_ERROR	An error occurred while deserializing TL parameters
INPUT_FETCH_FAIL	Failed deserializing TL payload
INPUT_FILTER_INVALID	 filter invalid for this query
INPUT_LAYER_INVALID	  layer invalid
